Date,DayAirTmpMax,DayWindRun,DayAsceEto,DaySolRadAvg,DayWindSpdAvg,DayPrecip,Standard,DayVapPresAvg,DaySoilTmpAvg,Station,DayRelHumMax,DayAirTmpAvg,DayAirTmpMin,Scope,DayDewPnt,DayRelHumAvg,DayRelHumMin,Julian,ZipCodes
2017-01-01,-1,-1,-1,-1,-1,-1,english,-1,-1,2,-1,42,-1,daily,-1,-1,-1,1,93624
2017-01-02,-1,-1,-1,-1,-1,-1,english,-1,-1,2,-1,45.3,-1,daily,-1,-1,-1,2,93624
2017-01-03,-1,-1,-1,-1,-1,-1,english,-1,-1,2,-1,50.1,-1,daily,-1,-1,-1,3,93624
2017-01-04,-1,-1,-1,-1,-1,-1,english,-1,-1,2,-1,53.6,-1,daily,-1,-1,-1,4,93624
2017-01-05,-1,-1,-1,-1,-1,-1,english,-1,-1,2,-1,0.0,-1,daily,-1,-1,-1,5,93624
2017-01-06,-1,-1,-1,-1,-1,-1,english,-1,-1,2,-1,0.0,-1,daily,-1,-1,-1,6,93624
2017-01-07,-1,-1,-1,-1,-1,-1,english,-1,-1,2,-1,0.0,-1,daily,-1,-1,-1,7,93624
2017-01-08,-1,-1,-1,-1,-1,-1,english,-1,-1,2,-1,0.0,-1,daily,-1,-1,-1,8,93624
2017-01-09,-1,-1,-1,-1,-1,-1,english,-1,-1,2,-1,56.5,-1,daily,-1,-1,-1,9,93624
2017-01-10,-1,-1,-1,-1,-1,-1,english,-1,-1,2,-1,55.7,-1,daily,-1,-1,-1,10,93624
2017-01-11,-1,-1,-1,-1,-1,-1,english,-1,-1,2,-1,54.4,-1,daily,-1,-1,-1,11,93624
2017-01-12,-1,-1,-1,-1,-1,-1,english,-1,-1,2,-1,49,-1,daily,-1,-1,-1,12,93624
2017-01-13,-1,-1,-1,-1,-1,-1,english,-1,-1,2,-1,45.5,-1,daily,-1,-1,-1,13,93624
2017-01-14,-1,-1,-1,-1,-1,-1,english,-1,-1,2,-1,43.3,-1,daily,-1,-1,-1,14,93624
2017-01-15,-1,-1,-1,-1,-1,-1,english,-1,-1,2,-1,42.7,-1,daily,-1,-1,-1,15,93624
2017-01-16,-1,-1,-1,-1,-1,-1,english,-1,-1,2,-1,0.0,-1,daily,-1,-1,-1,16,93624
2017-01-17,-1,-1,-1,-1,-1,-1,english,-1,-1,2,-1,45.1,-1,daily,-1,-1,-1,17,93624
2017-01-18,-1,-1,-1,-1,-1,-1,english,-1,-1,2,-1,48.8,-1,daily,-1,-1,-1,18,93624
2017-01-19,-1,-1,-1,-1,-1,-1,english,-1,-1,2,-1,50.8,-1,daily,-1,-1,-1,19,93624
2017-01-20,-1,-1,-1,-1,-1,-1,english,-1,-1,2,-1,49.6,-1,daily,-1,-1,-1,20,93624
2017-01-21,-1,-1,-1,-1,-1,-1,english,-1,-1,2,-1,48.5,-1,daily,-1,-1,-1,21,93624
2017-01-22,-1,-1,-1,-1,-1,-1,english,-1,-1,2,-1,50,-1,daily,-1,-1,-1,22,93624
2017-01-23,-1,-1,-1,-1,-1,-1,english,-1,-1,2,-1,45.2,-1,daily,-1,-1,-1,23,93624
2017-01-24,-1,-1,-1,-1,-1,-1,english,-1,-1,2,-1,41.2,-1,daily,-1,-1,-1,24,93624
